feature,importance
loc_company_target_mean,15646.6
edu_job_target_mean,13881.6
experience_x_skills,11337.0
industry_target_mean,10387.0
skills_per_year,9507.4
job_company_target_mean,9501.4
location_target_mean,9199.4
agg_decile_job_target_mean,8142.2
agg_decile_education_target_mean,8116.8
aggregated_score_abs,8003.4
experience_years,7918.2
agg_x_certifications_plus1,7918.0
remote_work_target_mean,7820.6
edu_company_target_mean,7437.2
agg_x_experience,6958.6
agg_decile_company_target_mean,6914.0
certifications_per_year,6881.4
aggregated_score_ventile_target_mean,6784.6
agg_per_experience_plus1,6747.6
agg_decile_skill_target_mean,6662.8
agg_x_skills,6585.2
agg_per_skill_plus1,6302.2
job_title_target_mean,6265.6
skills_count,5093.2
aggregated_score_decile_target_mean,3750.8
certifications,3420.6
education_level_target_mean,3325.8
aggregated_score,3106.8
company_size_target_mean,2768.6
skill_bracket_target_mean,2681.6
aggregated_score_tail_band_target_mean,2042.6
skill_bracket_ord,834.8
education_level_ord,618.4
company_size_ord,385.2
remote_work_missing,252.8
