feature,importance
loc_company_target_mean,11132.2
experience_x_skills,9309.4
location_job_target_mean,8968.4
edu_company_target_mean,8776.4
industry_location_target_mean,8423.4
edu_job_target_mean,8335.6
experience_band_job_target_mean,8225.6
industry_target_mean,8193.6
aggregated_score_abs,7692.4
experience_years,7592.2
skills_per_year,7509.6
agg_decile_education_target_mean,7280.8
job_company_target_mean,6440.4
agg_decile_company_target_mean,6256.0
certification_bucket_target_mean,6188.8
agg_x_certifications_plus1,6133.6
remote_work_target_mean,6069.0
certifications_per_year,5960.4
aggregated_score_ventile_target_mean,5947.2
skills_decile_job_target_mean,5623.0
agg_decile_skill_target_mean,5610.6
agg_x_skills,5499.0
certification_job_target_mean,5470.8
agg_x_experience,5422.2
agg_per_skill_plus1,5399.8
job_remote_target_mean,5295.4
agg_per_experience_plus1,5273.0
skills_count_decile_target_mean,5045.4
location_target_mean,4718.0
agg_decile_job_target_mean,4373.8
aggregated_score_decile_target_mean,3335.2
education_level_target_mean,2596.6
experience_band_target_mean,2473.2
job_title_target_mean,2472.2
company_size_target_mean,2282.6
skill_bracket_target_mean,1999.0
skills_tail_band_target_mean,1907.4
aggregated_score_tail_band_target_mean,1434.2
skill_bracket_ord,869.8
education_level_ord,793.0
skills_is_outlier_gt25,358.6
company_size_ord,309.6
remote_work_missing,202.6
certifications_non_integer,0.0
certifications_negative,0.0
