feature,importance
loc_company_target_mean,10974.8
experience_x_skills,9277.4
location_job_target_mean,8946.8
edu_company_target_mean,8655.4
industry_location_target_mean,8532.0
edu_job_target_mean,8258.6
experience_band_job_target_mean,8179.8
industry_target_mean,8133.8
aggregated_score_abs,7773.8
experience_years,7671.0
skills_per_year,7520.6
agg_decile_education_target_mean,7375.0
job_company_target_mean,6442.4
agg_decile_company_target_mean,6245.4
remote_work_target_mean,6026.4
agg_x_certifications_plus1,6019.2
aggregated_score_ventile_target_mean,5927.4
skills_decile_job_target_mean,5691.0
agg_decile_skill_target_mean,5571.6
agg_x_skills,5551.8
agg_x_experience,5483.0
agg_per_skill_plus1,5430.4
certification_job_target_mean,5370.0
job_remote_target_mean,5335.6
agg_per_experience_plus1,5323.0
skills_count_decile_target_mean,5011.2
certifications_per_year,4967.8
location_target_mean,4719.8
certification_bucket_target_mean,4686.8
agg_decile_job_target_mean,4344.4
aggregated_score_decile_target_mean,3321.0
education_level_target_mean,2690.4
job_title_target_mean,2528.6
experience_band_target_mean,2475.0
certifications,2433.2
company_size_target_mean,2264.8
skill_bracket_target_mean,2069.2
skills_tail_band_target_mean,1954.0
aggregated_score_tail_band_target_mean,1420.8
skill_bracket_ord,870.0
education_level_ord,820.6
skills_is_outlier_gt25,372.6
company_size_ord,328.6
remote_work_missing,204.6
certifications_non_integer,0.4
certifications_negative,0.0
