feature,importance
loc_company_target_mean,11066.2
experience_x_skills,9170.8
location_job_target_mean,8903.4
edu_company_target_mean,8549.8
industry_location_target_mean,8470.4
edu_job_target_mean,8273.8
industry_target_mean,8159.8
experience_band_job_target_mean,8110.0
aggregated_score_abs,7801.8
experience_years,7479.6
agg_decile_education_target_mean,7309.2
skills_per_year,6992.8
job_company_target_mean,6362.0
agg_decile_company_target_mean,6221.8
remote_work_target_mean,6109.8
agg_x_certifications_plus1,6099.6
aggregated_score_ventile_target_mean,5905.0
agg_decile_skill_target_mean,5550.0
skills_decile_job_target_mean,5539.4
agg_x_experience,5512.6
certification_job_target_mean,5459.0
agg_x_skills,5433.6
job_remote_target_mean,5336.6
agg_per_experience_plus1,5301.4
agg_per_skill_plus1,5246.6
certifications_per_year,4988.8
certification_bucket_target_mean,4691.2
location_target_mean,4608.4
agg_decile_job_target_mean,4325.4
skills_count_decile_target_mean,3922.4
aggregated_score_decile_target_mean,3340.0
skills_count,3136.0
education_level_target_mean,2693.0
experience_band_target_mean,2492.2
job_title_target_mean,2475.8
certifications,2466.2
company_size_target_mean,2260.4
skill_bracket_target_mean,1973.6
skills_tail_band_target_mean,1772.2
aggregated_score_tail_band_target_mean,1437.8
skill_bracket_ord,869.2
education_level_ord,803.0
company_size_ord,342.2
remote_work_missing,202.4
skills_is_outlier_gt25,34.8
certifications_non_integer,0.0
certifications_negative,0.0
