feature,importance
loc_company_target_mean,11010.4
experience_x_skills,9125.8
location_job_target_mean,8997.0
edu_company_target_mean,8652.2
industry_location_target_mean,8498.2
edu_job_target_mean,8198.0
industry_target_mean,8144.4
experience_band_job_target_mean,8104.0
experience_years,7473.6
agg_decile_education_target_mean,7280.4
skills_per_year,6965.2
aggregated_score_abs,6827.4
job_company_target_mean,6309.6
agg_decile_company_target_mean,6181.8
remote_work_target_mean,6036.4
agg_x_certifications_plus1,5878.6
aggregated_score_ventile_target_mean,5859.8
skills_decile_job_target_mean,5550.6
agg_decile_skill_target_mean,5493.0
certification_job_target_mean,5408.2
job_remote_target_mean,5326.4
agg_x_experience,5297.6
agg_x_skills,5196.6
agg_per_experience_plus1,5113.6
agg_per_skill_plus1,5068.8
certifications_per_year,4943.0
location_target_mean,4646.2
certification_bucket_target_mean,4632.4
agg_decile_job_target_mean,4370.4
skills_count_decile_target_mean,3897.2
aggregated_score_decile_target_mean,3260.6
skills_count,3081.0
education_level_target_mean,2666.0
aggregated_score,2656.0
experience_band_target_mean,2514.6
job_title_target_mean,2466.6
certifications,2402.8
company_size_target_mean,2262.0
skill_bracket_target_mean,2006.4
skills_tail_band_target_mean,1802.6
aggregated_score_tail_band_target_mean,1401.6
skill_bracket_ord,850.4
education_level_ord,782.4
company_size_ord,320.6
remote_work_missing,200.8
skills_is_outlier_gt25,38.8
certifications_non_integer,0.0
certifications_negative,0.0
