model,train_accuracy,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,note
HistGradientBoosting,0.79653125,0.761125,0.6873365430678902,0.6695065287711535,0.6776796966505653,0.7536423962724156,0.761125,0.7567689580526218,boosting sklearn pe features OneHot dense
CatBoost_native,0.76471875,0.760625,0.6891353600146278,0.672155384797261,0.6801054041538288,0.7564296103081547,0.760625,0.7581403238701153,"CatBoostClassifier cu categorice native, fara feature engineering suplimentar"
LightGBM_multiclass,0.79034375,0.7603125,0.6857699216973538,0.6676009640357201,0.6759283113243961,0.7528297042632678,0.7603125,0.7559496019351134,"LightGBM multiclass cu OneHot, fara class_weight pentru accuracy local mai stabil"
CatBoost_V1_FE_keepraw,0.763390625,0.7590625,0.6862472559710542,0.6675475127965026,0.6760795411302001,0.7541875927300828,0.7590625,0.7560697610464792,"FE V1 cu bins/interactiuni; drop_agg=False, drop_cert=False"
CatBoost_V1_FE_dropagg,0.7639375,0.758875,0.6855524545374525,0.6653097599852352,0.674548271348103,0.7527525211081062,0.758875,0.7551728261496643,"FE V1 cu bins/interactiuni; drop_agg=True, drop_cert=False"
CatBoost_V1_FE_dropcert,0.76365625,0.7579375,0.6843335651520532,0.6642887106446612,0.6734284032058774,0.751835194741929,0.7579375,0.7542488121160887,"FE V1 cu bins/interactiuni; drop_agg=False, drop_cert=True"
ExtraTrees_balanced,0.803203125,0.74325,0.6792445092155943,0.6889047069634379,0.6818491319420005,0.7654805423431387,0.74325,0.7519303274019153,"arbori extrem de randomizati, utili ca verificare nonlineara"
RandomForest_balanced,0.81234375,0.7428125,0.6755800821500143,0.6823456693100529,0.677348383169078,0.7608301788435333,0.7428125,0.7500963229349944,"ensemble de arbori, class_weight balanced_subsample"
DecisionTree_depthNone_leaf100,0.73175,0.7255625,0.665508749723107,0.6790524511383499,0.6685658074614349,0.7576574994704793,0.7255625,0.7373557296126336,"baseline arbore: max_depth=None, min_samples_leaf=100"
DecisionTree_depth8_leaf30,0.716546875,0.7100625,0.6553547149263927,0.6693015567209899,0.6569812344484806,0.7522977278672496,0.7100625,0.7248005070808867,"baseline arbore: max_depth=8, min_samples_leaf=30"
DecisionTree_depth4_leaf20,0.661375,0.6614375,0.6029700683262073,0.5461320150659335,0.5325260456305176,0.6594164279547191,0.6614375,0.6322714559995097,"baseline arbore: max_depth=4, min_samples_leaf=20"
Dummy_most_frequent,0.54196875,0.542,0.1355,0.25,0.17574578469520102,0.293764,0.542,0.38101686121919587,underfit: prezice mereu clasa majoritara
