feature,importance
loc_company_target_mean,10992.0
experience_x_skills,9035.0
location_job_target_mean,8868.8
edu_company_target_mean,8617.0
industry_location_target_mean,8529.8
edu_job_target_mean,8267.0
experience_band_job_target_mean,8212.6
industry_target_mean,8181.2
aggregated_score_abs,7708.8
experience_years,7646.0
agg_decile_education_target_mean,7333.8
skills_per_year,6886.0
job_company_target_mean,6395.2
agg_decile_company_target_mean,6234.4
agg_x_certifications_plus1,6181.0
certification_bucket_target_mean,6121.8
remote_work_target_mean,6033.4
certifications_per_year,5970.6
aggregated_score_ventile_target_mean,5932.0
skills_decile_job_target_mean,5631.8
agg_decile_skill_target_mean,5484.0
agg_x_experience,5443.2
certification_job_target_mean,5414.2
agg_x_skills,5399.6
agg_per_experience_plus1,5365.4
agg_per_skill_plus1,5300.0
job_remote_target_mean,5277.0
location_target_mean,4744.2
agg_decile_job_target_mean,4312.4
skills_count_decile_target_mean,3929.2
aggregated_score_decile_target_mean,3337.0
skills_count,3070.2
education_level_target_mean,2676.8
job_title_target_mean,2516.0
experience_band_target_mean,2430.6
company_size_target_mean,2245.2
skill_bracket_target_mean,2033.2
skills_tail_band_target_mean,1809.8
aggregated_score_tail_band_target_mean,1393.0
skill_bracket_ord,842.2
education_level_ord,820.4
company_size_ord,332.0
remote_work_missing,205.2
skills_is_outlier_gt25,40.8
certifications_non_integer,0.2
certifications_negative,0.0
